code,name,date,reason
2400,ＳＯＭＰＯケアメッセージ,2017-01-16,株式等売渡請求による取得
7432,ダルトン,2017-01-16,株式の併合
8728,マネースクウェアＨＤ,2017-01-20,株式の併合
6767,ミツミ電機,2017-01-24,ミネベアミツミの完全子会社化
6163,エイチアンドエフ,2017-01-30,株式等売渡請求による取得
6935,日本デジタル研究所,2017-02-06,株式等売渡請求による取得
8170,アデランス,2017-02-10,株式の併合
3734,インテア・ホールディングス,2017-02-24,光通信の完全子会社化
6860,パナソニック　デバイスＳＵＮＸ,2017-03-22,パナソニックの完全子会社化
2131,アコーディア・ゴルフ,2017-03-23,株式の併合
3832,Ｔ＆Ｃメディカルサイエンス,2017-03-28,JASDAQ業績基準該当及び債務超過
2580,コカ・コーライーストジャパン,2017-03-29,コカ・コーラボトラーズジャパンの完全子会社化
5012,東燃ゼネラル石油,2017-03-29,ＪＸＴＧホールディングスの完全子会社化
2611,攝津製油,2017-04-26,日清オイリオグループの完全子会社化
4989,イハラケミカル工業,2017-04-26,クミアイ化学工業に合併
8625,高木証券,2017-04-28,株式等売渡請求による取得
8648,バンク・オブ・アメリカ・コーポレーション,2017-05-01,申請による上場廃止
9373,ニッコウトラベル,2017-05-02,株式等売渡請求による取得
7248,カルソニックカンセイ,2017-05-08,株式等売渡請求による取得
7853,フード・プラネット,2017-05-29,内部管理体制等について改善がなされなかったと当取引所が認める場合
7920,三浦印刷,2017-05-29,株式等売渡請求による取得
8870,住友不動産販売,2017-06-02,株式等売渡請求による取得
8175,ベスト電器,2017-06-28,ヤマダ電機の完全子会社化
8245,丸栄,2017-07-06,株式等売渡請求による取得
6581,日立工機,2017-07-24,株式の併合
2145,データリンクス,2017-07-27,ＤＴＳの完全子会社化
6791,日本コロムビア,2017-07-27,フェイスの完全子会社化
7312,タカタ,2017-07-27,民事再生手続き
7968,ＴＡＳＡＫＩ,2017-07-27,スターダスト（非上場）に合併
4842,ＵＳＥＮ,2017-08-10,株式の併合
1896,大林道路,2017-09-07,株式の併合
6397,郷鉄工所,2017-09-11,有価証券報告書提出遅延
1924,パナホーム,2017-09-27,株式の併合
6751,日本無線,2017-09-27,日清紡ホールディングスの完全子会社化
3318,メガネスーパー,2017-10-27,ビジョナリーホールディングスの完全子会社化
3022,山下医科器械,2017-11-28,ヤマシタヘルスケアホールディングスの完全子会社化
2772,ゲンキー,2017-12-18,Ｇｅｎｋｙ ＤｒｕｇＳｔｏｒｅｓの完全子会社化
4965,曽田香料,2017-12-25,株式の併合
7825,ダンロップスポーツ,2017-12-27,住友ゴム工業に合併
9764,技研興業,2017-12-29,技研ホールディングスの完全子会社化
7260,富士機工,2018-01-23,株式等売渡請求による取得
4793,富士通ビー・エス・シー,2018-01-29,富士通の完全子会社化
9370,郵船ロジスティクス,2018-01-29,株式等売渡請求による取得
2008,増田製粉所,2018-02-01,株式等売渡請求による取得
8519,ポケットカード,2018-02-01,株式の併合
6756,日立国際電気,2018-03-09,株式の併合
7517,黒田電気,2018-03-16,株式等売渡請求による取得
9747,アサツー　ディ・ケイ,2018-03-16,株式の併合
8148,上原成商事,2018-03-19,株式の併合
1846,鈴縫工業,2018-03-20,株式等売渡請求による取得
5815,沖電線,2018-03-28,株式の併合
8374,三重銀行,2018-03-28,三十三フィナンシャルグループの完全子会社化
8529,第三銀行,2018-03-28,三十三フィナンシャルグループの完全子会社化
8543,みなと銀行,2018-03-28,関西みらいフィナンシャルグループの完全子会社化
8545,関西アーバン銀行,2018-03-28,関西みらいフィナンシャルグループの完全子会社化
6716,テクニカル電子,2018-04-24,株式等売渡請求による取得
8787,ＵＣＳ,2018-04-25,ユニーの完全子会社化
4117,川崎化成工業,2018-05-08,株式等売渡請求による取得
9133,東栄リーファーライン,2018-06-22,株式の併合
3669,モバイルクリエイト,2018-06-27,ＦＩＧの完全子会社化
6314,石井工作研究所,2018-06-27,ＦＩＧの完全子会社化
6669,シーシーエス,2018-06-27,オプテックスグループの完全子会社化
1606,日本海洋掘削,2018-07-23,会社更生手続き
2538,ジャパン・フード＆リカー・アライアンス,2018-07-27,ＪＦＬＡホールディングスの完全子会社化
5453,東洋鋼鈑,2018-07-30,株式等売渡請求による取得
2719,キタムラ,2018-08-06,株式等売渡請求による取得
1919,ヤマダ・エスバイエルホーム,2018-08-29,ヤマダ電機の完全子会社化
6911,新日本無線,2018-08-29,日清紡ホールディングスの完全子会社化
6636,ソルガム・ジャパン・ホールディングス,2018-09-03,有価証券報告書提出遅延
1984,三信建設工業,2018-09-18,株式等売渡請求による取得
