date,code,ticker,name,market,sector33_code,sector33,sector17_code,sector17,size_code,size,is_equity
,1301,1301.T,極洋,Prime,,水産・農林業,,,,,True
,130A,130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,Growth,,医薬品,,,,,True
,1332,1332.T,ニッスイ,Prime,,水産・農林業,,,,,True
,1333,1333.T,マルハニチロ,Prime,,水産・農林業,,,,,True
,135A,135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,Growth,,情報・通信業,,,,,True
,1375,1375.T,ユキグニファクトリー,Prime,,水産・農林業,,,,,True
,1376,1376.T,カネコ種苗,Standard,,水産・農林業,,,,,True
,1377,1377.T,サカタのタネ,Prime,,水産・農林業,,,,,True
,1379,1379.T,ホクト,Prime,,水産・農林業,,,,,True
,137A,137A.T,Ｃｏｃｏｌｉｖｅ,Growth,,情報・通信業,,,,,True
,1380,1380.T,秋川牧園,Standard,,水産・農林業,,,,,True
,1381,1381.T,アクシーズ,Standard,,水産・農林業,,,,,True
,1382,1382.T,ホーブ,Standard,,水産・農林業,,,,,True
,1383,1383.T,ベルグアース,Standard,,水産・農林業,,,,,True
,1384,1384.T,ホクリヨウ,Standard,,水産・農林業,,,,,True
,138A,138A.T,光フードサービス,Growth,,小売業,,,,,True
,1401,1401.T,エムビーエス,Growth,,建設業,,,,,True
,1407,1407.T,ウエストホールディングス,Standard,,建設業,,,,,True
,1414,1414.T,ショーボンドホールディングス,Prime,,建設業,,,,,True
,1417,1417.T,ミライト・ワン,Prime,,建設業,,,,,True
,1418,1418.T,インターライフホールディングス,Standard,,建設業,,,,,True
,1419,1419.T,タマホーム,Prime,,建設業,,,,,True
,141A,141A.T,トライアルホールディングス,Growth,,小売業,,,,,True
,1420,1420.T,サンヨーホームズ,Standard,,建設業,,,,,True
,1429,1429.T,日本アクア,Prime,,建設業,,,,,True
,142A,142A.T,ジンジブ,Growth,,サービス業,,,,,True
,1430,1430.T,ファーストコーポレーション,Standard,,建設業,,,,,True
,1431,1431.T,Ｌｉｂ　Ｗｏｒｋ,Growth,,建設業,,,,,True
,1433,1433.T,ベステラ,Prime,,建設業,,,,,True
,1434,1434.T,ＪＥＳＣＯホールディングス,Standard,,建設業,,,,,True
,1435,1435.T,ｒｏｂｏｔ　ｈｏｍｅ,Standard,,不動産業,,,,,True
,1436,1436.T,グリーンエナジー＆カンパニー,Growth,,建設業,,,,,True
,1438,1438.T,岐阜造園,Standard,,建設業,,,,,True
,143A,143A.T,イシン,Growth,,サービス業,,,,,True
,1443,1443.T,技研ホールディングス,Standard,,建設業,,,,,True
,1444,1444.T,ニッソウ,Growth,,建設業,,,,,True
,1446,1446.T,キャンディル,Standard,,建設業,,,,,True
,1447,1447.T,ＳＡＡＦホールディングス,Growth,,建設業,,,,,True
,1450,1450.T,ＴＡＮＡＫＥＮ,Standard,,建設業,,,,,True
,145A,145A.T,Ｌ　ｉｓ　Ｂ,Growth,,情報・通信業,,,,,True
,146A,146A.T,コロンビア・ワークス,Standard,,不動産業,,,,,True
,147A,147A.T,ソラコム,Growth,,情報・通信業,,,,,True
,148A,148A.T,ハッチ・ワーク,Growth,,情報・通信業,,,,,True
,1491,1491.T,中外鉱業,Standard,,非鉄金属,,,,,True
,149A,149A.T,シンカ,Growth,,情報・通信業,,,,,True
,150A,150A.T,ＪＳＨ,Growth,,サービス業,,,,,True
,1514,1514.T,住石ホールディングス,Standard,,鉱業,,,,,True
,1515,1515.T,日鉄鉱業,Prime,,鉱業,,,,,True
,1518,1518.T,三井松島ホールディングス,Prime,,その他製品,,,,,True
,151A,151A.T,ダイブ,Growth,,サービス業,,,,,True
,153A,153A.T,カウリス,Growth,,情報・通信業,,,,,True
,155A,155A.T,情報戦略テクノロジー,Growth,,情報・通信業,,,,,True
,156A,156A.T,マテリアルグループ,Growth,,サービス業,,,,,True
,157A,157A.T,グリーンモンスター,Growth,,サービス業,,,,,True
,1605,1605.T,ＩＮＰＥＸ,Prime,,鉱業,,,,,True
,160A,160A.T,アズパートナーズ,Standard,,サービス業,,,,,True
,165A,165A.T,ＳＢＩレオスひふみ,Growth,,証券、商品先物取引業,,,,,True
,1662,1662.T,石油資源開発,Prime,,鉱業,,,,,True
,1663,1663.T,Ｋ＆Ｏエナジーグループ,Prime,,鉱業,,,,,True
,166A,166A.T,タスキホールディングス,Growth,,不動産業,,,,,True
,167A,167A.T,リョーサン菱洋ホールディングス,Prime,,卸売業,,,,,True
,168A,168A.T,イタミアート,Growth,,その他製品,,,,,True
,1711,1711.T,ＳＤＳホールディングス,Standard,,建設業,,,,,True
,1712,1712.T,ダイセキ環境ソリューション,Standard,,建設業,,,,,True
,1716,1716.T,第一カッター興業,Standard,,建設業,,,,,True
,1717,1717.T,明豊ファシリティワークス,Standard,,サービス業,,,,,True
,1718,1718.T,美樹工業,Standard,,建設業,,,,,True
,1719,1719.T,安藤・間,Prime,,建設業,,,,,True
,1720,1720.T,東急建設,Prime,,建設業,,,,,True
,1721,1721.T,コムシスホールディングス,Prime,,建設業,,,,,True
,1723,1723.T,日本電技,Standard,,建設業,,,,,True
,1724,1724.T,シンクレイヤ,Standard,,建設業,,,,,True
,1726,1726.T,ビーアールホールディングス,Prime,,建設業,,,,,True
,1736,1736.T,オーテック,Standard,,建設業,,,,,True
,173A,173A.T,ハンモック,Growth,,情報・通信業,,,,,True
,1743,1743.T,コーアツ工業,Standard,,建設業,,,,,True
,1758,1758.T,太洋基礎工業,Standard,,建設業,,,,,True
,175A,175A.T,Ｗｉｌｌ　Ｓｍａｒｔ,Growth,,情報・通信業,,,,,True
,1762,1762.T,高松コンストラクショングループ,Prime,,建設業,,,,,True
,1764,1764.T,工藤建設,Standard,,建設業,,,,,True
,1766,1766.T,東建コーポレーション,Prime,,建設業,,,,,True
