ticker,code,name,market,sector33,size,last_date,bars,last_close,adv_jpy,adv_shares,turnover_last,ok_adv,ok_price,ok_history,ok_split,ok_fresh,passes
1357.T,1357,合成1357,プライム（内国株式）,化学,,2026-08-21,426,2757.0,29824221336.99041,10485207.220212614,24514099845.0,True,True,True,True,True,True
1350.T,1350,合成1350,プライム（内国株式）,食料品,,2026-08-21,400,12771.74010169599,29637398152.963543,2290568.2074987637,36136380823.61098,True,True,True,True,True,True
1413.T,1413,合成1413,プライム（内国株式）,機械,,2026-08-21,400,16396.480283579178,27168855853.581,1708569.56385309,37268484790.19747,True,True,True,True,True,True
1567.T,1567,合成1567,プライム（内国株式）,電気機器,,2026-08-21,400,10738.352952023068,23051700968.190052,2077709.1672959584,45965721231.686104,True,True,True,True,True,True
1406.T,1406,合成1406,スタンダード（内国株式）,化学,,2026-08-21,400,8260.991104747567,19574077782.82636,2467429.079501326,16638947261.151999,True,True,True,True,True,True
1714.T,1714,合成1714,プライム（内国株式）,電気機器,,2026-08-21,400,15394.160174596695,19220126623.376106,1200576.4809633999,33426707248.02857,True,True,True,True,True,True
1371.T,1371,合成1371,プライム（内国株式）,電気機器,,2026-08-21,400,12575.39410628902,17219494572.15432,1280908.20091941,12110904558.060928,True,True,True,True,True,True
1539.T,1539,合成1539,プライム（内国株式）,サービス業,,2026-08-21,400,6875.1606183509675,10915802343.921164,1612170.984156211,7775884226.0183115,True,True,True,True,True,True
1644.T,1644,合成1644,プライム（内国株式）,食料品,,2026-08-21,400,5431.86014187357,10865651804.752966,1970149.5601569116,14462126958.990892,True,True,True,True,True,True
1588.T,1588,合成1588,プライム（内国株式）,サービス業,,2026-08-21,400,7261.1762077035755,7148192681.834883,1031755.3553836057,5776664042.456445,True,True,True,True,True,True
1427.T,1427,合成1427,スタンダード（内国株式）,小売業,,2026-08-21,400,3561.6652922904236,6730570556.241907,1786980.9320663125,4948072484.119933,True,True,True,True,True,True
1616.T,1616,合成1616,スタンダード（内国株式）,電気機器,,2026-08-21,400,4030.39429603813,6367077007.397147,1537841.4519845159,3694721384.8735576,True,True,True,True,True,True
1385.T,1385,合成1385,スタンダード（内国株式）,情報・通信業,,2026-08-21,400,4595.112759970586,5709389226.131372,1204138.0103856632,2950251570.1726217,True,True,True,True,True,True
1581.T,1581,合成1581,プライム（内国株式）,情報・通信業,,2026-08-21,400,3087.5334540339722,5511421332.820725,1966174.835304773,6456436536.415143,True,True,True,True,True,True
1392.T,1392,合成1392,プライム（内国株式）,サービス業,,2026-08-21,400,2980.72683853829,5509984480.873137,1840870.7580022414,7889333283.007322,True,True,True,True,True,True
1700.T,1700,合成1700,スタンダード（内国株式）,化学,,2026-08-21,400,6209.632004665873,5158450059.702973,808347.1265708136,10201834303.861528,True,True,True,True,True,True
1462.T,1462,合成1462,プライム（内国株式）,機械,,2026-08-21,400,4296.975891419578,5072346870.144688,1105583.1990258584,4190201551.899523,True,True,True,True,True,True
1707.T,1707,合成1707,プライム（内国株式）,機械,,2026-08-21,400,6054.934193605914,5049047085.743211,824878.5096719477,6770745782.361562,True,True,True,True,True,True
1378.T,1378,合成1378,プライム（内国株式）,小売業,,2026-08-21,400,2924.395284737386,4271300922.4512115,1377161.9594807103,2303565816.1807456,True,True,True,True,True,True
1329.T,1329,合成1329,プライム（内国株式）,小売業,,2026-08-21,426,6842.0,3595536730.1629868,521551.50637620065,2902773236.0,True,True,True,True,True,True
1672.T,1672,合成1672,プライム（内国株式）,小売業,,2026-08-21,400,9966.522440301316,3230734597.0843534,323819.9708475051,6357668735.594557,True,True,True,True,True,True
1455.T,1455,合成1455,プライム（内国株式）,化学,,2026-08-21,400,3869.1730681630115,3178133205.62309,770563.8075506792,3415081960.078468,True,True,True,True,True,True
1448.T,1448,合成1448,スタンダード（内国株式）,食料品,,2026-08-21,400,1952.0527053432227,3053343929.778247,1608763.4142109256,4188595879.537418,True,True,True,True,True,True
1525.T,1525,合成1525,プライム（内国株式）,小売業,,2026-08-21,400,2463.257293868138,2820534714.932111,1136585.0659957638,4728508242.456302,True,True,True,True,True,True
1511.T,1511,合成1511,スタンダード（内国株式）,機械,,2026-08-21,400,10437.882434138124,2780521003.0420723,252899.57411680897,1936033176.6272502,True,True,True,True,True,True
1441.T,1441,合成1441,プライム（内国株式）,サービス業,,2026-08-21,400,1984.3796186688585,2718033119.014415,1390805.304122858,3277759135.313104,True,True,True,True,True,True
1574.T,1574,合成1574,スタンダード（内国株式）,小売業,,2026-08-21,400,5801.193001631934,2283272277.4047384,397313.7347410932,5082422182.3389635,True,True,True,True,True,True
1553.T,1553,合成1553,スタンダード（内国株式）,化学,,2026-08-21,400,1515.1829232682326,2262368579.8247323,1444546.291838922,5425715007.83037,True,True,True,True,True,True
1504.T,1504,合成1504,プライム（内国株式）,化学,,2026-08-21,400,1133.383113850314,1843511675.1175542,1524912.8838675332,1703776103.505955,True,True,True,True,True,True
1343.T,1343,合成1343,スタンダード（内国株式）,サービス業,,2026-08-21,426,1938.0,1742553572.9357712,885436.5132579372,1197218880.0,True,True,True,True,True,True
1518.T,1518,合成1518,プライム（内国株式）,電気機器,,2026-08-21,426,2283.0,1531320561.7742202,619538.3226538469,659102100.0,True,True,True,True,True,True
1308.T,1308,合成1308,プライム（内国株式）,化学,,2026-08-21,426,4184.0,1009316337.0464504,249995.72848328724,262646416.0,True,True,True,True,True,True
1315.T,1315,合成1315,プライム（内国株式）,機械,,2026-08-21,400,3479.0246808827815,705300317.3828385,203963.96325435318,1115668128.7565513,True,True,True,True,True,True
1399.T,1399,合成1399,プライム（内国株式）,食料品,,2026-08-21,426,3217.0,662168129.6044279,90819.79043977728,1103431.0,True,True,True,True,True,True
1693.T,1693,合成1693,プライム（内国株式）,食料品,,2026-08-21,426,7295.549197085617,608084267.6636354,83383.90018256701,8094129134.313313,True,True,True,True,True,True
1336.T,1336,合成1336,プライム（内国株式）,情報・通信業,,2026-08-21,400,1422.5180593825567,589449409.7808415,397527.307785996,365596329.3730425,True,True,True,True,True,True
1602.T,1602,合成1602,プライム（内国株式）,化学,,2026-08-21,400,769.5138330064275,548946689.1441622,700638.9421730392,491922363.6455778,True,True,True,True,True,True
1322.T,1322,合成1322,スタンダード（内国株式）,電気機器,,2026-08-21,426,11700.0,509532722.29446614,41206.09650496459,1872000.0,True,True,True,True,True,True
1658.T,1658,合成1658,スタンダード（内国株式）,機械,,2026-08-21,426,4400.0,475958942.4887954,95796.40381225044,6622000.0,True,True,True,True,True,True
1651.T,1651,合成1651,プライム（内国株式）,化学,,2026-08-21,426,3245.0,456110883.81244296,81911.69346917685,14414290.0,True,True,True,True,True,True
1637.T,1637,合成1637,スタンダード（内国株式）,サービス業,,2026-08-21,400,1994.0472311880915,448024057.5716473,223562.19659215384,752885357.5765069,True,True,True,True,True,True
1301.T,1301,合成1301,スタンダード（内国株式）,食料品,,2026-08-21,426,4785.0,445660048.55919284,88202.1827067988,215803500.0,True,True,True,True,True,True
1665.T,1665,合成1665,プライム（内国株式）,電気機器,,2026-08-21,400,1152.1453915567547,363723657.7828679,316912.2478208634,418403762.32053536,True,True,True,True,True,True
1546.T,1546,合成1546,プライム（内国株式）,食料品,,2026-08-21,426,81550.0,362619638.7225605,28878.25401333666,79511250.0,True,True,True,True,True,True
1420.T,1420,合成1420,プライム（内国株式）,電気機器,,2026-08-21,426,632.0,332266622.5102459,33969.73514612285,5119200.0,True,True,True,True,True,True
1476.T,1476,合成1476,プライム（内国株式）,小売業,,2026-08-21,426,1855.0,306171586.9990392,164707.07274619603,106334165.0,True,True,True,True,True,True
1490.T,1490,合成1490,スタンダード（内国株式）,サービス業,,2026-08-21,426,7731.0,262544961.66975492,55144.897389419355,0.0,True,True,True,True,True,True
1497.T,1497,合成1497,プライム（内国株式）,食料品,,2026-08-21,426,1731.0,236111389.5998876,33833.65774415932,6039459.0,True,True,True,True,True,True
1609.T,1609,合成1609,プライム（内国株式）,機械,,2026-08-21,400,1259.7339880463674,231801293.16951537,179054.34187766974,459080914.45950997,True,True,True,True,True,True
1623.T,1623,合成1623,プライム（内国株式）,小売業,,2026-08-21,426,64930.0,221671054.22754246,25813.700701683403,75838240.0,True,True,True,True,True,True
1532.T,1532,合成1532,スタンダード（内国株式）,情報・通信業,,2026-08-21,400,2371.5718028607735,219368997.53779396,86744.23037136527,154643278.04440945,True,True,True,True,True,True
1364.T,1364,合成1364,スタンダード（内国株式）,機械,,2026-08-21,426,3761.0,383010152.279306,107324.44389392687,25537190.0,True,True,True,False,True,False
1686.T,1686,合成1686,プライム（内国株式）,サービス業,,2026-08-21,426,1442.3709129611455,174486924.94502127,120942.73752974859,569545012.7488269,False,True,True,True,True,False
1434.T,1434,合成1434,プライム（内国株式）,情報・通信業,,2026-08-21,426,1664.0,164121137.01937875,237995.61093532335,70387200.0,False,True,True,True,True,False
1483.T,1483,合成1483,プライム（内国株式）,情報・通信業,,2026-08-21,426,3787.0,113356193.96789809,102249.50993685407,0.0,False,True,True,True,True,False
1469.T,1469,合成1469,スタンダード（内国株式）,電気機器,,2026-08-21,426,186.10000610351562,78035114.08957255,59391.01674976093,2134567.070007324,False,False,True,True,True,False
1595.T,1595,合成1595,スタンダード（内国株式）,食料品,,2026-08-21,400,706.5555665647516,63826912.80222322,92994.45182573657,35931219.646851875,False,True,True,True,True,False
1630.T,1630,合成1630,プライム（内国株式）,情報・通信業,,2026-08-21,426,38080.0,42327367.922957376,27743.7154059346,9786560.0,False,True,True,True,True,False
1679.T,1679,合成1679,スタンダード（内国株式）,情報・通信業,,2026-08-21,426,68160.0,38284370.93112315,11294.888372279544,0.0,False,True,True,True,True,False
1560.T,1560,合成1560,プライム（内国株式）,機械,,2026-08-21,426,6525.0,23299681.29613679,90997.27011786934,1461600.0,False,True,True,True,True,False
