ticker,code,name,market,sector33,size,last_date,bars,last_close,adv_jpy,adv_shares,turnover_last,ok_adv,ok_price,ok_history,ok_split,ok_fresh,passes
285A.T,285A,キオクシアホールディングス,プライム（内国株式）,電気機器,TOPIX Mid400,2026-08-27,411.0,52500.0,2205620224750.0,43390430.0,1890362250000.0,True,True,True,True,True,True
5803.T,5803,フジクラ,プライム（内国株式）,非鉄金属,TOPIX Large70,2026-08-27,2603.0,5500.0,347580378135.0,66369595.0,301870800000.0,True,True,True,True,True,True
6857.T,6857,アドバンテスト,プライム（内国株式）,電気機器,TOPIX Core30,2026-08-27,2603.0,34610.0,309459203325.0,9184820.0,381575250000.0,True,True,True,True,True,True
6976.T,6976,太陽誘電,プライム（内国株式）,電気機器,TOPIX Mid400,2026-08-27,2603.0,8900.0,236911676740.0,24105035.0,279990440000.0,True,True,True,True,True,True
9984.T,9984,ソフトバンクグループ,プライム（内国株式）,情報・通信業,TOPIX Core30,2026-08-27,2603.0,5200.0,218748835115.0,40495665.0,170981200000.0,True,True,True,True,True,True
8035.T,8035,東京エレクトロン,プライム（内国株式）,電気機器,TOPIX Core30,2026-08-27,2603.0,56000.0,209134814650.0,3742170.0,130468800000.0,True,True,True,True,True,True
6981.T,6981,村田製作所,プライム（内国株式）,電気機器,TOPIX Large70,2026-08-27,2603.0,7309.0,195208828510.0,26300845.0,175065168000.0,True,True,True,True,True,True
4062.T,4062,イビデン,プライム（内国株式）,電気機器,TOPIX Mid400,2026-08-27,2603.0,20545.0,156294775575.0,8139325.0,186932791500.0,True,True,True,True,True,True
5801.T,5801,古河電気工業,プライム（内国株式）,非鉄金属,TOPIX Mid400,2026-08-27,2603.0,4089.0,134058213712.5,34616530.0,113187609000.0,True,True,True,True,True,True
8306.T,8306,三菱ＵＦＪフィナンシャル・グループ,プライム（内国株式）,銀行業,TOPIX Core30,2026-08-27,2603.0,3608.0,131560505980.0,36914540.0,103991219200.0,True,True,True,True,True,True
6920.T,6920,レーザーテック,プライム（内国株式）,電気機器,TOPIX Large70,2026-08-27,2603.0,34610.0,124311892950.0,3221970.0,80741669000.0,True,True,True,True,True,True
6146.T,6146,ディスコ,プライム（内国株式）,機械,TOPIX Large70,2026-08-27,2603.0,59780.0,101132567450.0,1669035.0,77343364000.0,True,True,True,True,True,True
7203.T,7203,トヨタ自動車,プライム（内国株式）,輸送用機器,TOPIX Core30,2026-08-27,2603.0,3077.0,96577588845.0,31964220.0,56887576000.0,True,True,True,True,True,True
7974.T,7974,任天堂,プライム（内国株式）,その他製品,TOPIX Core30,2026-08-27,2603.0,8728.0,87800525440.0,10539635.0,55155723200.0,True,True,True,True,True,True
5016.T,5016,ＪＸ金属,プライム（内国株式）,非鉄金属,TOPIX Mid400,2026-08-27,353.0,3792.0,79408462865.0,20683050.0,66939796800.0,True,True,True,True,True,True
7011.T,7011,三菱重工業,プライム（内国株式）,機械,TOPIX Core30,2026-08-27,2603.0,3985.0,76271251955.0,18860850.0,55747759000.0,True,True,True,True,True,True
8316.T,8316,三井住友フィナンシャルグループ,プライム（内国株式）,銀行業,TOPIX Core30,2026-08-27,2603.0,6794.0,75948250335.0,11298250.0,62729002000.0,True,True,True,True,True,True
