date_listed,code,name,trigger,tag,score,method,entry_price,entry_date,stop_initial,risk_width,exit_date,exit_price,exit_reason,bars_held,realized_r,mfe_r,mae_r,reached,status
2026-07-25,8368,百五銀行,押し目,2週間,7,zone,2061.0,2026-07-27,1895.0,166.0,2026-07-29,1895.0,stop,2,-1.0,0.259,-1.169,1,closed
2026-07-25,8368,百五銀行,押し目,2週間,7,close,2080.0,2026-07-25,1895.0,185.0,2026-07-29,1895.0,stop,3,-1.0,0.232,-1.151,1,closed
2026-07-27,1965,テクノ菱和,材料反応,1ヶ月,7,close,6570.0,2026-07-27,5900.0,670.0,2026-07-29,5900.0,stop,2,-1.0,0.0,-1.866,1,closed
2026-07-28,5830,いよぎんホールディングス,材料反応,1ヶ月,10,close,3785.0,2026-07-28,3555.0,230.0,2026-07-29,3555.0,stop,1,-1.0,0.0,-1.457,1,closed
2026-07-28,3132,マクニカホールディングス,材料反応,1ヶ月,8,close,3579.0,2026-07-28,3330.0,249.0,2026-07-29,3330.0,stop,1,-1.0,0.0,-2.719,1,closed
2026-07-25,2001,ニップン,押し目,2週間,8,close,2832.0,2026-07-25,2726.0,106.0,2026-07-31,2832.0,partial_then_stop,5,0.5,1.443,-0.302,1,closed
2026-07-27,2001,ニップン,押し目,2週間,8,close,2832.0,2026-07-27,2726.0,106.0,2026-07-31,2832.0,partial_then_stop,4,0.5,1.443,-0.302,1,closed
2026-07-28,4665,ダスキン,押し目,2週間,8,close,4532.0,2026-07-28,4365.0,167.0,2026-07-31,4532.0,partial_then_stop,3,0.5,1.317,-0.551,1,closed
2026-07-29,2801,キッコーマン,押し目,2週間,8,close,1672.0,2026-07-29,1566.0,106.0,2026-07-31,1672.0,partial_then_stop,2,0.5,1.0,-0.439,1,closed
2026-07-30,3697,ＳＨＩＦＴ,材料反応,1ヶ月,7,close,950.0,2026-07-30,872.0,78.0,2026-07-31,872.0,stop,1,-1.0,0.0,-1.347,1,closed
2026-07-30,4151,協和キリン,押し目,2週間,7,close,2703.0,2026-07-30,2567.0,136.0,2026-07-31,2567.0,stop,1,-1.0,0.0,-1.11,1,closed
