ticker,code,name,sector,rs_rating,stage_w,pct_from_high
1407.T,1407,ウエストホールディングス,建設業,78.0,2,-0.1499
1518.T,1518,三井松島ホールディングス,その他製品,93.8,2,-0.0391
166A.T,166A,タスキホールディングス,不動産業,85.6,2,-0.0912
2175.T,2175,エス・エム・エス,サービス業,84.2,2,-0.0954
2222.T,2222,寿スピリッツ,食料品,76.5,2,-0.0045
2354.T,2354,ＹＥ　ＤＩＧＩＴＡＬ,情報・通信業,94.1,2,-0.1594
2371.T,2371,カカクコム,サービス業,81.6,2,0.0
2384.T,2384,ＳＢＳホールディングス,陸運業,70.5,2,-0.0199
2492.T,2492,インフォマート,サービス業,83.0,2,-0.0393
2503.T,2503,キリンホールディングス,食料品,71.5,2,-0.0458
2681.T,2681,ゲオホールディングス,小売業,70.3,2,-0.0056
2801.T,2801,キッコーマン,食料品,72.0,2,0.0
2805.T,2805,ヱスビー食品,食料品,95.4,2,-0.0072
2914.T,2914,日本たばこ産業,食料品,74.6,2,-0.0056
3086.T,3086,Ｊ．フロント　リテイリング,小売業,72.4,2,-0.1751
3105.T,3105,日清紡ホールディングス,電気機器,92.7,2,-0.01
3132.T,3132,マクニカホールディングス,卸売業,85.1,2,-0.066
3156.T,3156,レスター,卸売業,95.5,2,0.0
319A.T,319A,技術承継機構,金属製品,98.3,2,-0.0474
3276.T,3276,ＪＰＭＣ,不動産業,94.7,2,-0.0004
3480.T,3480,ジェイ・エス・ビー,不動産業,98.2,2,-0.0303
3563.T,3563,ＦＯＯＤ　＆　ＬＩＦＥ　ＣＯＭＰＡＮＩＥＳ,小売業,81.1,2,0.0
3864.T,3864,三菱製紙,パルプ・紙,89.0,2,-0.0832
3907.T,3907,シリコンスタジオ,情報・通信業,98.7,2,-0.2231
3941.T,3941,レンゴー,パルプ・紙,84.6,2,-0.0124
3946.T,3946,トーモク,パルプ・紙,72.5,2,-0.0043
3964.T,3964,オークネット,情報・通信業,81.1,2,-0.0776
4004.T,4004,レゾナック・ホールディングス,化学,98.4,2,-0.1602
4008.T,4008,住友精化,化学,86.6,2,0.0
4022.T,4022,ラサ工業,化学,92.1,2,-0.1519
4092.T,4092,日本化学工業,化学,96.0,2,-0.0802
4118.T,4118,カネカ,化学,70.6,2,0.0
4188.T,4188,三菱ケミカルグループ,化学,76.6,2,0.0
4203.T,4203,住友ベークライト,化学,79.0,2,-0.033
4205.T,4205,日本ゼオン,化学,75.8,2,0.0
4208.T,4208,ＵＢＥ,化学,87.2,2,0.0
4220.T,4220,リケンテクノス,化学,96.8,2,-0.0374
4246.T,4246,ダイキョーニシカワ,化学,78.8,2,0.0
4385.T,4385,メルカリ,情報・通信業,92.0,2,-0.0374
4419.T,4419,Ｆｉｎａｔｅｘｔホールディングス,情報・通信業,82.0,2,-0.0642
4461.T,4461,第一工業製薬,化学,97.0,2,-0.011
4578.T,4578,大塚ホールディングス,医薬品,80.1,2,-0.0114
4588.T,4588,オンコリスバイオファーマ,医薬品,99.1,2,-0.1872
4631.T,4631,ＤＩＣ,化学,88.3,2,0.0
4634.T,4634,ａｒｔｉｅｎｃｅ,化学,76.3,2,0.0
4746.T,4746,東計電算,情報・通信業,90.1,2,-0.0287
4968.T,4968,荒川化学工業,化学,96.2,2,-0.0828
5101.T,5101,横浜ゴム,ゴム製品,73.4,2,-0.0624
5186.T,5186,ニッタ,ゴム製品,89.9,2,0.0
5208.T,5208,有沢製作所,化学,83.7,2,-0.0423
5232.T,5232,住友大阪セメント,ガラス・土石製品,81.8,2,-0.0945
5301.T,5301,東海カーボン,ガラス・土石製品,90.3,2,-0.0442
5310.T,5310,東洋炭素,ガラス・土石製品,76.2,2,-0.1578
