date,code,name,sector,dcs,coverage,category,dim1,dim2,dim3,dim4,dim5,part_2-a,part_2-b,part_2-c,part_2-d,part_3-a,part_3-b,part_3-c,part_3-d,part_4-a,part_4-b,part_4-c,part_4-d,part_5-a,part_5-b,part_5-c,part_5-d,missing,part_1-a,part_1-b,part_1-c,part_1-d,part_1-e,part_1-f,part_1-g,part_1-h
2026-08-15,1301,極洋,水産・農林業,31.14,0.2,除外,0.0,0.3227,0.3987,0.1463,0.6893,0.2189,0.2,0.3871,0.4847,0.622,0.2129,0.3599,0.4,0.2273,0.0,0.1579,0.2,1.0,0.1245,0.6327,1.0,"1,2,3,4",,,,,,,,
2026-08-15,1332,ニッスイ,水産・農林業,40.95,0.2,除外,0.4008,0.5124,0.3116,0.1463,0.6765,0.6624,1.0,0.3871,0.0,0.0451,0.4889,0.3125,0.4,0.2273,0.0,0.1579,0.2,0.918,0.1364,0.6515,1.0,"1,2,3,4",0.0,1.0,0.5,0.0,1.0,0.2064,0.5,0.0
2026-08-15,1333,マルハニチロ,水産・農林業,43.48,0.2,除外,0.384,0.4975,0.3331,0.3463,0.6132,0.5509,0.8,0.3871,0.2521,0.2859,0.3462,0.3672,0.3333,0.2273,0.0,0.1579,1.0,1.0,0.136,0.3167,1.0,"1,2,3,4",0.0,1.0,0.5,0.0,0.7708,0.2015,0.5,0.1
2026-08-15,1377,サカタのタネ,水産・農林業,55.65,0.4,除外,0.8881,0.5264,0.7597,0.3141,0.2942,0.4838,0.6,0.3871,0.6346,0.5373,0.6723,0.8956,0.9333,0.4545,0.4441,0.1579,0.2,0.1394,0.3683,0.6581,0.0111,"2,4,5",1.0,1.0,1.0,1.0,1.0,0.8052,1.0,0.3
2026-08-15,1379,ホクト,水産・農林業,34.33,0.2,除外,0.3226,0.3589,0.6184,0.0763,0.3402,0.3075,0.4,0.3871,0.3411,0.7297,0.4662,0.7442,0.5333,0.0,0.0,0.1053,0.2,0.7993,0.1236,0.3397,0.0983,"1,2,4,5",0.0,0.5887,0.0,1.0,0.2424,0.6499,0.0,0.1
2026-08-15,1407,ウエストホールディングス,建設業,61.67,0.6,監視,0.925,0.4301,0.5171,0.6074,0.6041,0.5667,0.4118,0.7419,0.0,0.4855,0.3537,0.6961,0.5333,0.7273,0.8706,0.6316,0.2,0.7686,0.3333,0.3144,1.0,"2,3",1.0,1.0,1.0,1.0,1.0,0.4003,1.0,1.0
2026-08-15,1414,ショーボンドホールディングス,建設業,40.47,0.2,除外,0.4823,0.3278,0.4142,0.1609,0.6385,0.3255,0.1471,0.7419,0.0966,0.2705,0.338,0.6482,0.4,0.0909,0.0,0.0526,0.5,1.0,0.3579,0.196,1.0,"1,2,3,4",0.0,0.8126,0.5,1.0,0.3196,0.4265,0.5,0.3
2026-08-15,1417,ミライト・ワン,建設業,43.03,0.0,除外,0.4133,0.5054,0.2889,0.508,0.4357,0.6914,0.5882,0.7419,0.0,0.3131,0.214,0.3618,0.2667,0.6818,0.0,0.85,0.5,1.0,0.3926,0.3502,0.0,"1,2,3,4,5",0.0,1.0,0.5,0.0,1.0,0.3064,0.5,0.0
2026-08-15,1419,タマホーム,建設業,23.83,0.0,除外,0.0,0.0,0.3929,0.2518,0.547,,,,,1.0,0.0555,0.1828,0.3333,0.4545,0.0,0.0526,0.5,0.4613,0.2956,0.431,1.0,"1,2,3,4,5",,,,,,,,
2026-08-15,141A,トライアルホールディングス,小売業,61.13,0.8,本命,0.75,0.6412,0.7085,0.2035,0.7535,0.6142,0.886,0.0645,1.0,1.0,0.351,0.683,0.8,0.2273,0.0182,0.3684,0.2,1.0,0.218,0.7958,1.0,4,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0
