date,code,name,sector,dcs,coverage,category,dim1,dim2,dim3,dim4,dim5,part_3-a,part_3-b,part_3-c,part_3-d,part_4-a,part_4-c,part_4-d,part_5-a,part_5-b,part_5-c,part_5-d,missing,part_1-a,part_1-b,part_1-c,part_1-d,part_1-e,part_1-f,part_1-g,part_1-h,part_2-a,part_2-b,part_2-c,part_2-d,part_4-b
2026-08-18,1301,極洋,水産・農林業,28.53,0.2,除外,0.0,0.0,0.4536,,0.6878,0.5849,0.2259,0.5369,0.4667,0.2273,0.2105,0.2,1.0,0.1245,0.6266,1.0,"1,2,3,4",,,,,,,,,,,,,
2026-08-18,1332,ニッスイ,水産・農林業,48.15,0.2,除外,0.4032,0.5426,0.3128,,0.6674,0.0758,0.4753,0.3,0.4,0.2273,0.2105,0.2,0.9116,0.1364,0.6216,1.0,"1,2,3,4",0.0,1.0,0.5,0.0,1.0,0.2256,0.5,0.0,0.6544,1.0,0.5161,0.0,
2026-08-18,1333,マルハニチロ,水産・農林業,46.09,0.2,除外,0.3842,0.5042,0.3505,,0.6045,0.2322,0.3684,0.4013,0.4,0.2273,0.2105,1.0,1.0,0.136,0.2821,1.0,"1,2,3,4",0.0,1.0,0.5,0.0,0.7497,0.2242,0.5,0.1,0.5465,0.8,0.5161,0.1543,
2026-08-18,1377,サカタのタネ,水産・農林業,54.1,0.4,除外,0.8867,0.5527,0.759,0.2163,0.2904,0.4884,0.649,0.9652,0.9333,0.4545,0.2105,0.2,0.1395,0.3683,0.6539,0.0,"2,4,5",1.0,1.0,1.0,1.0,0.9882,0.8052,1.0,0.3,0.515,0.6,0.5161,0.5797,0.0
2026-08-18,1379,ホクト,水産・農林業,37.03,0.2,除外,0.6385,0.4119,0.4446,0.05,0.3065,0.4026,0.5487,0.2939,0.5333,0.0,0.0,0.2,0.7513,0.1236,0.2417,0.1096,"2,3,4,5",1.0,0.6031,0.0,1.0,0.3971,0.8078,1.0,0.3,0.3013,0.4,0.5161,0.4301,0.0
2026-08-18,1407,ウエストホールディングス,建設業,62.21,0.4,除外,0.9287,0.431,0.4763,0.5937,0.6806,0.4657,0.3566,0.4827,0.6,0.7273,0.6842,0.2,0.7936,0.3333,0.5956,1.0,"2,3,4",1.0,1.0,1.0,1.0,1.0,0.4299,1.0,1.0,0.5705,0.4118,0.7419,0.0,0.7632
2026-08-18,1414,ショーボンドホールディングス,建設業,40.9,0.2,除外,0.4087,0.3287,0.2931,,0.6054,0.1294,0.2807,0.429,0.3333,0.0909,0.1053,0.5,0.974,0.1967,0.2508,1.0,"1,2,3,4",0.0,0.8275,0.5,1.0,0.2652,0.3769,0.0,0.3,0.3103,0.1618,0.7419,0.1008,
2026-08-18,1417,ミライト・ワン,建設業,41.31,0.0,除外,0.4126,0.4972,0.311,,0.4316,0.3058,0.2153,0.3897,0.3333,0.6818,0.825,0.5,1.0,0.3926,0.3338,0.0,"1,2,3,4,5",0.0,1.0,0.5,0.0,0.9833,0.3179,0.5,0.0,0.6732,0.5735,0.7419,0.0,
2026-08-18,1419,タマホーム,建設業,25.12,0.0,除外,0.0,0.0,0.4364,,0.5686,1.0,0.1703,0.1753,0.4,0.4545,0.1053,0.5,0.5667,0.2956,0.4121,1.0,"1,2,3,4,5",,,,,,,,,,,,,
2026-08-18,141A,トライアルホールディングス,小売業,62.46,0.8,本命,0.75,0.6397,0.7869,0.2212,0.7251,1.0,0.4208,0.8601,0.8667,0.2273,0.4211,0.2,1.0,0.2286,0.6718,1.0,4,1.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,0.584,0.8783,0.0968,1.0,0.0364
2026-08-18,1514,住石ホールディングス,鉱業,37.0,0.4,除外,0.0,0.0,0.6927,,0.7872,0.7335,0.451,0.6531,0.9333,0.3182,0.2632,1.0,1.0,0.1487,1.0,1.0,"1,2,4",,,,,,,,,,,,,
