date,code,name,sector,dcs,coverage,category,dim1,dim2,dim3,dim4,dim5,part_2-a,part_2-b,part_2-c,part_2-d,part_3-a,part_3-b,part_3-c,part_3-d,part_4-a,part_4-c,part_4-d,part_5-a,part_5-b,part_5-c,part_5-d,missing,part_1-a,part_1-b,part_1-c,part_1-d,part_1-e,part_1-f,part_1-g,part_1-h,part_4-b
2026-08-20,1301,極洋,水産・農林業,37.61,0.2,除外,0.0,0.3912,0.4715,,0.6416,0.2167,0.2,0.5161,0.6321,0.5223,0.2329,0.5974,0.5333,0.2273,0.0526,0.5,1.0,0.1245,0.442,1.0,"1,2,3,4",,,,,,,,,
2026-08-20,1332,ニッスイ,水産・農林業,48.11,0.4,除外,0.6699,0.5322,0.4018,0.1858,0.6157,0.6128,1.0,0.5161,0.0,0.0076,0.5075,0.6255,0.4667,0.2273,0.3158,0.2,0.8992,0.1364,0.4271,1.0,"2,3,4",1.0,1.0,0.5,1.0,1.0,0.359,0.5,0.0,0.0
2026-08-20,1333,マルハニチロ,水産・農林業,46.86,0.0,除外,0.3885,0.4847,0.4048,,0.5966,0.5331,0.8,0.5161,0.0896,0.2088,0.3756,0.6347,0.4,0.2273,0.3158,1.0,1.0,0.136,0.2505,1.0,"1,2,3,4,5",0.0,1.0,0.5,0.0,0.7445,0.2633,0.5,0.1,
2026-08-20,1377,サカタのタネ,水産・農林業,54.58,0.4,除外,0.9482,0.5335,0.776,0.1768,0.2945,0.5019,0.6,0.5161,0.516,0.5359,0.671,0.9635,0.9333,0.4545,0.0526,0.2,0.1494,0.3683,0.6604,0.0,"2,4,5",1.0,1.0,1.0,1.0,0.8061,0.7792,1.0,1.0,0.0
2026-08-20,1379,ホクト,水産・農林業,36.17,0.2,除外,0.7262,0.445,0.3217,0.0632,0.2523,0.2978,0.4,0.5161,0.5661,0.1823,0.5168,0.0543,0.5333,0.0,0.0526,0.2,0.6357,0.1236,0.1498,0.0999,"2,3,4,5",1.0,0.631,0.0,1.0,0.384,0.7945,1.0,1.0,0.0
2026-08-20,1407,ウエストホールディングス,建設業,61.53,0.4,除外,0.8321,0.5666,0.509,0.42,0.7487,0.7625,0.7941,0.7097,0.0,0.4669,0.3572,0.5454,0.6667,0.7273,0.0,0.2,0.8433,0.3333,0.8183,1.0,"2,3,4",1.0,1.0,1.0,1.0,1.0,0.3567,1.0,0.3,0.7526
2026-08-20,1414,ショーボンドホールディングス,建設業,33.31,0.0,除外,0.2689,0.3065,0.1773,,0.5798,0.3165,0.1912,0.7097,0.0089,0.0063,0.2511,0.1853,0.2667,0.0909,0.2105,0.5,0.8603,0.1967,0.2621,1.0,"1,2,3,4,5",0.0,0.8443,0.5,0.0,0.1956,0.3116,0.0,0.3,
2026-08-20,1417,ミライト・ワン,建設業,41.41,0.0,除外,0.4078,0.4841,0.3161,,0.4486,0.6679,0.5588,0.7097,0.0,0.2571,0.215,0.4589,0.3333,0.6818,0.775,0.5,1.0,0.3474,0.4468,0.0,"1,2,3,4,5",0.0,1.0,0.5,0.0,0.9341,0.3284,0.5,0.0,
2026-08-20,1419,タマホーム,建設業,29.82,0.2,除外,0.0,0.0,0.5381,,0.6546,,,,,1.0,0.2293,0.3897,0.5333,0.4545,0.2105,0.5,0.7984,0.2956,0.5244,1.0,"1,2,3,4",,,,,,,,,
2026-08-20,141A,トライアルホールディングス,小売業,58.06,0.6,監視,0.8224,0.6053,0.5495,0.2566,0.6692,0.513,0.8435,0.0645,1.0,0.8011,0.5302,0.0,0.8667,0.2273,0.5263,0.2,1.0,0.2937,0.383,1.0,"3,4",1.0,1.0,0.5,1.0,1.0,0.0795,1.0,1.0,0.0727
2026-08-20,1514,住石ホールディングス,鉱業,34.39,0.4,除外,0.0,0.0,0.6217,,0.7539,,,,,0.6297,0.4779,0.446,0.9333,0.3182,0.3684,1.0,1.0,0.1487,0.867,1.0,"1,2,4",,,,,,,,,
2026-08-20,1515,日鉄鉱業,鉱業,61.72,0.4,除外,0.8125,0.9298,0.5632,0.4801,0.3005,0.8161,1.0,0.9032,1.0,0.4249,0.5266,0.6348,0.6667,0.1364,0.975,0.5,1.0,0.2021,0.0,0.0,"3,4,5",1.0,1.0,0.5,1.0,1.0,0.0,1.0,1.0,0.3091
2026-08-20,1518,三井松島ホールディングス,その他製品,56.69,0.4,除外,0.9933,0.7182,0.5562,,0.0,0.7074,0.875,0.2903,1.0,0.0,0.926,0.6986,0.6,,0.375,0.2,0.0,,0.0,0.0,"3,4,5",1.0,1.0,1.0,1.0,1.0,0.9462,1.0,1.0,0.9789
2026-08-20,1605,ＩＮＰＥＸ,鉱業,58.58,0.8,本命,0.7609,0.6192,0.6069,0.2404,0.7016,0.7736,0.8,0.9032,0.0,0.5374,0.5121,0.4447,0.9333,0.4091,0.0526,0.5,1.0,0.1434,0.663,1.0,4,1.0,1.0,0.5,1.0,1.0,0.0873,0.5,1.0,0.0
2026-08-20,1662,石油資源開発,鉱業,64.16,0.6,監視,0.625,0.5638,0.6147,,0.7628,0.752,0.6,0.9032,0.0,0.4553,0.4819,0.6552,0.8667,0.4091,0.1053,1.0,1.0,0.1251,0.9262,1.0,"2,4",0.0,1.0,0.5,1.0,1.0,0.0,0.5,1.0,
2026-08-20,1663,Ｋ＆Ｏエナジーグループ,鉱業,55.34,0.2,除外,0.485,0.4699,0.5194,,0.7394,0.5763,0.4,0.9032,0.0,0.4844,0.3988,0.3278,0.8667,0.3182,0.0526,1.0,1.0,0.1005,0.8569,1.0,"1,2,3,4",0.0,0.9802,0.5,1.0,1.0,0.0,0.0,0.4,
2026-08-20,166A,タスキホールディングス,不動産業,67.47,0.6,監視,0.9287,0.7208,0.7719,0.4395,0.5125,0.7684,0.9535,0.1613,1.0,0.931,1.0,0.5566,0.6,1.0,0.2105,0.2,0.0173,0.3709,0.6617,1.0,"4,5",1.0,1.0,1.0,1.0,1.0,0.7296,1.0,0.7,0.3474
2026-08-20,167A,リョーサン菱洋ホールディングス,卸売業,31.02,0.0,除外,0.0,0.4711,0.4721,0.3665,0.2414,0.2822,0.2151,0.3871,1.0,0.1696,0.5144,0.4711,0.7333,0.2273,0.6842,0.5,0.767,0.1988,0.0,0.0,"1,2,3,4,5",,,,,,,,,0.0545
2026-08-20,1719,安藤・間,建設業,55.32,0.4,除外,0.7419,0.5018,0.4491,0.3594,0.7138,0.4758,0.3382,0.7097,0.4834,0.1496,0.4743,0.7057,0.4667,0.2273,0.2105,1.0,1.0,0.103,0.7522,1.0,"2,3,4",1.0,0.9366,0.5,1.0,0.546,0.4528,0.5,1.0,0.0
2026-08-20,1720,東急建設,建設業,44.55,0.2,除外,0.197,0.3426,0.5309,,0.7117,0.3812,0.2794,0.7097,0.0,0.3414,0.4233,0.6254,0.7333,0.2273,0.3158,0.2,1.0,0.123,0.7239,1.0,"1,2,3,4",0.0,0.7454,0.5,0.0,0.3304,0.0,0.0,0.0,
2026-08-20,1721,コムシスホールディングス,建設業,52.49,0.4,除外,0.6867,0.5363,0.3326,0.3349,0.7338,0.7297,0.7059,0.7097,0.0,0.2914,0.1699,0.4692,0.4,0.6818,0.1579,0.5,1.0,0.1058,1.0,0.8294,"2,3,4",1.0,1.0,1.0,0.0,1.0,0.5934,0.5,0.4,0.0
2026-08-20,1723,日本電技,建設業,46.18,0.2,除外,0.375,0.6257,0.3486,,0.498,0.8518,0.9412,0.7097,0.0,0.0,0.2893,0.7053,0.4,0.2273,0.0526,0.5,0.4203,0.1626,0.4093,1.0,"1,3,4,5",0.0,1.0,0.5,0.0,1.0,0.0,0.5,0.0,
2026-08-20,1762,高松コンストラクショングループ,建設業,52.68,0.4,除外,0.8241,0.6269,0.5212,0.267,0.3946,0.4743,0.3235,0.7097,1.0,0.3542,0.2801,0.9171,0.5333,0.0,0.85,0.2,1.0,0.1333,0.445,0.0,"3,4,5",1.0,1.0,0.0,1.0,0.9062,0.6866,1.0,1.0,0.0182
2026-08-20,1766,東建コーポレーション,建設業,33.04,0.4,除外,0.0,0.0,0.6953,,0.6261,,,,,0.5044,0.5059,0.971,0.8,0.0909,0.0526,0.2,0.7328,0.1361,0.6357,1.0,"1,2,4",,,,,,,,,
2026-08-20,1786,オリエンタル白石,建設業,19.32,0.0,除外,0.0,0.0,0.209,,0.5639,,,,,0.0,0.3692,0.0,0.4667,0.0,0.1053,0.5,0.7807,0.2073,0.2676,1.0,"1,2,3,4,5",,,,,,,,,
2026-08-20,1801,大成建設,建設業,58.82,0.4,除外,0.3125,0.5599,0.7445,,0.7358,0.7506,0.7794,0.7097,0.0,0.9654,0.4611,0.8183,0.7333,0.2273,0.5789,0.5,1.0,0.1581,0.7853,1.0,"1,2,4",0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,
