listed_date,ticker,code,name,sector,trigger,tag,zone_hi,zone_lo,stop,time_stop,expire_date,close_at_listing,status,reached_date,reached_low,days_waited,score,gap_date,unit_cost
2026-07-25,2001.T,2001,ニップン,食料品,押し目,2週間,2818.0,2787.0,2726.0,10,07/29,2832.0,reached,2026-07-25,2786.0,0,8,,283200
2026-07-25,4733.T,4733,オービックビジネスコンサルタント,情報・通信業,材料反応,1ヶ月,7730.0,7550.0,7210.0,20,07/29,7638.0,reached,2026-07-25,7257.0,0,8,2026-07-24,763800
2026-07-25,4118.T,4118,カネカ,化学,押し目,2週間,5840.0,5730.0,5510.0,10,07/29,5841.0,reached,2026-07-25,5756.0,0,7,,584100
2026-07-25,7173.T,7173,東京きらぼしフィナンシャルグループ,銀行業,押し目,2週間,1772.0,1709.0,1591.0,10,07/29,1772.0,reached,2026-07-25,1727.0,0,7,,177200
2026-07-25,8368.T,8368,百五銀行,銀行業,押し目,2週間,2107.0,2032.0,1895.0,10,07/29,2080.0,reached,2026-07-25,2037.0,0,7,,208000
2026-07-27,8541.T,8541,愛媛銀行,銀行業,材料反応,1ヶ月,2810.0,2707.0,2520.0,20,07/30,2794.0,reached,2026-07-27,2540.0,0,10,2026-07-24,279400
2026-07-27,2001.T,2001,ニップン,食料品,押し目,2週間,2818.0,2787.0,2726.0,10,07/30,2832.0,reached,2026-07-27,2786.0,0,8,,283200
2026-07-27,3191.T,3191,ジョイフル本田,小売業,押し目,2週間,2294.0,2279.0,2247.0,10,07/30,2315.0,reached,2026-07-27,2255.0,0,8,,231500
2026-07-27,1965.T,1965,テクノ菱和,建設業,材料反応,1ヶ月,6650.0,6390.0,5900.0,20,07/30,6570.0,reached,2026-07-27,5960.0,0,7,2026-07-24,657000
2026-07-27,4118.T,4118,カネカ,化学,押し目,2週間,5840.0,5730.0,5510.0,10,07/30,5841.0,reached,2026-07-27,5756.0,0,7,,584100
2026-07-27,4733.T,4733,オービックビジネスコンサルタント,情報・通信業,材料反応,1ヶ月,7730.0,7550.0,7210.0,20,07/30,7638.0,reached,2026-07-27,7257.0,0,7,2026-07-24,763800
2026-07-27,2001.T,2001,ニップン,食料品,押し目,2週間,2818.0,2787.0,2726.0,10,07/30,2832.0,reached,2026-07-27,2786.0,0,8,,283200
2026-07-27,3191.T,3191,ジョイフル本田,小売業,押し目,2週間,2294.0,2279.0,2247.0,10,07/30,2315.0,reached,2026-07-27,2255.0,0,8,,231500
2026-07-27,1965.T,1965,テクノ菱和,建設業,材料反応,1ヶ月,6650.0,6390.0,5900.0,20,07/30,6570.0,reached,2026-07-27,5960.0,0,7,2026-07-24,657000
2026-07-27,4118.T,4118,カネカ,化学,押し目,2週間,5840.0,5730.0,5510.0,10,07/30,5841.0,reached,2026-07-27,5756.0,0,7,,584100
2026-07-27,8541.T,8541,愛媛銀行,銀行業,材料反応,1ヶ月,2810.0,2707.0,2520.0,20,07/30,2794.0,pending,,,0,10,2026-07-24,279400
