ticker,name,sector,industry_big,market
1301.T,極洋,水産・農林業,食品,Prime
130A.T,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,医薬品,医薬品,Growth
1332.T,ニッスイ,水産・農林業,食品,Prime
1333.T,マルハニチロ,水産・農林業,食品,Prime
135A.T,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,情報・通信業,情報通信・サービスその他,Growth
1375.T,ユキグニファクトリー,水産・農林業,食品,Prime
1376.T,カネコ種苗,水産・農林業,食品,Standard
1377.T,サカタのタネ,水産・農林業,食品,Prime
1379.T,ホクト,水産・農林業,食品,Prime
137A.T,Ｃｏｃｏｌｉｖｅ,情報・通信業,情報通信・サービスその他,Growth
1380.T,秋川牧園,水産・農林業,食品,Standard
1381.T,アクシーズ,水産・農林業,食品,Standard
1382.T,ホーブ,水産・農林業,食品,Standard
1383.T,ベルグアース,水産・農林業,食品,Standard
1384.T,ホクリヨウ,水産・農林業,食品,Standard
138A.T,光フードサービス,小売業,小売,Growth
1401.T,エムビーエス,建設業,建設・資材,Growth
1407.T,ウエストホールディングス,建設業,建設・資材,Standard
1414.T,ショーボンドホールディングス,建設業,建設・資材,Prime
1417.T,ミライト・ワン,建設業,建設・資材,Prime
1418.T,インターライフホールディングス,建設業,建設・資材,Standard
1419.T,タマホーム,建設業,建設・資材,Prime
141A.T,トライアルホールディングス,小売業,小売,Growth
1420.T,サンヨーホームズ,建設業,建設・資材,Standard
1429.T,日本アクア,建設業,建設・資材,Prime
142A.T,ジンジブ,サービス業,情報通信・サービスその他,Growth
1430.T,ファーストコーポレーション,建設業,建設・資材,Standard
1431.T,Ｌｉｂ　Ｗｏｒｋ,建設業,建設・資材,Growth
1433.T,ベステラ,建設業,建設・資材,Prime
1434.T,ＪＥＳＣＯホールディングス,建設業,建設・資材,Standard
1435.T,ｒｏｂｏｔ　ｈｏｍｅ,不動産業,不動産,Standard
1436.T,グリーンエナジー＆カンパニー,建設業,建設・資材,Growth
1438.T,岐阜造園,建設業,建設・資材,Standard
143A.T,イシン,サービス業,情報通信・サービスその他,Growth
1443.T,技研ホールディングス,建設業,建設・資材,Standard
1444.T,ニッソウ,建設業,建設・資材,Growth
1446.T,キャンディル,建設業,建設・資材,Standard
1447.T,ＳＡＡＦホールディングス,建設業,建設・資材,Growth
1450.T,ＴＡＮＡＫＥＮ,建設業,建設・資材,Standard
145A.T,Ｌ　ｉｓ　Ｂ,情報・通信業,情報通信・サービスその他,Growth
146A.T,コロンビア・ワークス,不動産業,不動産,Standard
147A.T,ソラコム,情報・通信業,情報通信・サービスその他,Growth
148A.T,ハッチ・ワーク,情報・通信業,情報通信・サービスその他,Growth
1491.T,中外鉱業,非鉄金属,鉄鋼・非鉄,Standard
149A.T,シンカ,情報・通信業,情報通信・サービスその他,Growth
150A.T,ＪＳＨ,サービス業,情報通信・サービスその他,Growth
1514.T,住石ホールディングス,鉱業,エネルギー資源,Standard
1515.T,日鉄鉱業,鉱業,エネルギー資源,Prime
1518.T,三井松島ホールディングス,その他製品,情報通信・サービスその他,Prime
151A.T,ダイブ,サービス業,情報通信・サービスその他,Growth
153A.T,カウリス,情報・通信業,情報通信・サービスその他,Growth
155A.T,情報戦略テクノロジー,情報・通信業,情報通信・サービスその他,Growth
156A.T,マテリアルグループ,サービス業,情報通信・サービスその他,Growth
157A.T,グリーンモンスター,サービス業,情報通信・サービスその他,Growth
1605.T,ＩＮＰＥＸ,鉱業,エネルギー資源,Prime
160A.T,アズパートナーズ,サービス業,情報通信・サービスその他,Standard
165A.T,ＳＢＩレオスひふみ,証券、商品先物取引業,金融（除く銀行）,Growth
1662.T,石油資源開発,鉱業,エネルギー資源,Prime
1663.T,Ｋ＆Ｏエナジーグループ,鉱業,エネルギー資源,Prime
166A.T,タスキホールディングス,不動産業,不動産,Growth
167A.T,リョーサン菱洋ホールディングス,卸売業,商社・卸売,Prime
168A.T,イタミアート,その他製品,情報通信・サービスその他,Growth
1711.T,ＳＤＳホールディングス,建設業,建設・資材,Standard
1712.T,ダイセキ環境ソリューション,建設業,建設・資材,Standard
1716.T,第一カッター興業,建設業,建設・資材,Standard
1717.T,明豊ファシリティワークス,サービス業,情報通信・サービスその他,Standard
1718.T,美樹工業,建設業,建設・資材,Standard
1719.T,安藤・間,建設業,建設・資材,Prime
1720.T,東急建設,建設業,建設・資材,Prime
1721.T,コムシスホールディングス,建設業,建設・資材,Prime
1723.T,日本電技,建設業,建設・資材,Standard
1724.T,シンクレイヤ,建設業,建設・資材,Standard
1726.T,ビーアールホールディングス,建設業,建設・資材,Prime
1736.T,オーテック,建設業,建設・資材,Standard
173A.T,ハンモック,情報・通信業,情報通信・サービスその他,Growth
1743.T,コーアツ工業,建設業,建設・資材,Standard
1758.T,太洋基礎工業,建設業,建設・資材,Standard
175A.T,Ｗｉｌｌ　Ｓｍａｒｔ,情報・通信業,情報通信・サービスその他,Growth
1762.T,高松コンストラクショングループ,建設業,建設・資材,Prime
1764.T,工藤建設,建設業,建設・資材,Standard
1766.T,東建コーポレーション,建設業,建設・資材,Prime
1768.T,ソネック,建設業,建設・資材,Standard
176A.T,レジル,電気・ガス業,電力・ガス,Growth
1770.T,藤田エンジニアリング,建設業,建設・資材,Standard
1776.T,三井住建道路,建設業,建設・資材,Standard
177A.T,コージンバイオ,化学,素材・化学,Growth
1780.T,ヤマウラ,建設業,建設・資材,Prime
1783.T,ｆａｎｔａｓｉｓｔａ,不動産業,不動産,Standard
1786.T,オリエンタル白石,建設業,建設・資材,Prime
1787.T,ナカボーテック,建設業,建設・資材,Standard
1788.T,三東工業社,建設業,建設・資材,Standard
1793.T,大本組,建設業,建設・資材,Standard
1795.T,マサル,建設業,建設・資材,Standard
1798.T,守谷商会,建設業,建設・資材,Standard
1799.T,第一建設工業,建設業,建設・資材,Standard
1801.T,大成建設,建設業,建設・資材,Prime
1802.T,大林組,建設業,建設・資材,Prime
1803.T,清水建設,建設業,建設・資材,Prime
1807.T,佐藤渡辺,建設業,建設・資材,Standard
1808.T,長谷工コーポレーション,建設業,建設・資材,Prime
1810.T,松井建設,建設業,建設・資材,Standard
1811.T,錢高組,建設業,建設・資材,Standard
1812.T,鹿島建設,建設業,建設・資材,Prime
1813.T,不動テトラ,建設業,建設・資材,Prime
1814.T,大末建設,建設業,建設・資材,Prime
1815.T,鉄建建設,建設業,建設・資材,Prime
1820.T,西松建設,建設業,建設・資材,Prime
1821.T,三井住友建設,建設業,建設・資材,Prime
1822.T,大豊建設,建設業,建設・資材,Standard
1826.T,佐田建設,建設業,建設・資材,Standard
1827.T,ナカノフドー建設,建設業,建設・資材,Standard
1828.T,田辺工業,建設業,建設・資材,Standard
1833.T,奥村組,建設業,建設・資材,Prime
1835.T,東鉄工業,建設業,建設・資材,Prime
1840.T,土屋ホールディングス,建設業,建設・資材,Standard
1841.T,サンユー建設,建設業,建設・資材,Standard
1844.T,大盛工業,建設業,建設・資材,Standard
1847.T,イチケン,建設業,建設・資材,Standard
1848.T,富士ピー・エス,建設業,建設・資材,Standard
184A.T,学びエイド,情報・通信業,情報通信・サービスその他,Growth
1850.T,南海辰村建設,建設業,建設・資材,Standard
1852.T,淺沼組,建設業,建設・資材,Prime
1853.T,森組,建設業,建設・資材,Standard
1860.T,戸田建設,建設業,建設・資材,Prime
1861.T,熊谷組,建設業,建設・資材,Prime
1866.T,北野建設,建設業,建設・資材,Standard
1867.T,植木組,建設業,建設・資材,Standard
186A.T,アストロスケールホールディングス,サービス業,情報通信・サービスその他,Growth
1870.T,矢作建設工業,建設業,建設・資材,Prime
1871.T,ピーエス・コンストラクション,建設業,建設・資材,Prime
1873.T,日本ハウスホールディングス,建設業,建設・資材,Prime
1878.T,大東建託,不動産業,不動産,Prime
1879.T,新日本建設,建設業,建設・資材,Prime
1882.T,東亜道路工業,建設業,建設・資材,Prime
1885.T,東亜建設工業,建設業,建設・資材,Prime
1887.T,日本国土開発,建設業,建設・資材,Prime
1888.T,若築建設,建設業,建設・資材,Prime
1890.T,東洋建設,建設業,建設・資材,Prime
1893.T,五洋建設,建設業,建設・資材,Prime
1897.T,金下建設,建設業,建設・資材,Standard
1898.T,世紀東急工業,建設業,建設・資材,Prime
1899.T,福田組,建設業,建設・資材,Prime
189A.T,Ｄ＆Ｍカンパニー,サービス業,情報通信・サービスその他,Growth
1904.T,大成温調,建設業,建設・資材,Standard
1905.T,テノックス,建設業,建設・資材,Standard
1909.T,日本ドライケミカル,機械,機械,Standard
190A.T,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅｕｔｉｃｓ,医薬品,医薬品,Growth
1911.T,住友林業,建設業,建設・資材,Prime
1914.T,日本基礎技術,建設業,建設・資材,Standard
1921.T,巴コーポレーション,建設業,建設・資材,Standard
1925.T,大和ハウス工業,建設業,建設・資材,Prime
1926.T,ライト工業,建設業,建設・資材,Prime
1928.T,積水ハウス,建設業,建設・資材,Prime
1929.T,日特建設,建設業,建設・資材,Prime
192A.T,インテグループ,サービス業,情報通信・サービスその他,Growth
1930.T,北陸電気工事,建設業,建設・資材,Prime
1934.T,ユアテック,建設業,建設・資材,Prime
1938.T,日本リーテック,建設業,建設・資材,Prime
1939.T,四電工,建設業,建設・資材,Prime
1941.T,中電工,建設業,建設・資材,Prime
1942.T,関電工,建設業,建設・資材,Prime
1944.T,きんでん,建設業,建設・資材,Prime
1945.T,東京エネシス,建設業,建設・資材,Prime
1946.T,トーエネック,建設業,建設・資材,Prime
1948.T,弘電社,建設業,建設・資材,Standard
1949.T,住友電設,建設業,建設・資材,Prime
194A.T,ＷＯＬＶＥＳ　ＨＡＮＤ,サービス業,情報通信・サービスその他,Growth
1950.T,日本電設工業,建設業,建設・資材,Prime
1951.T,エクシオグループ,建設業,建設・資材,Prime
1952.T,新日本空調,建設業,建設・資材,Prime
1959.T,クラフティア,建設業,建設・資材,Prime
195A.T,ＭＵＳＣＡＴ　ＧＲＯＵＰ,サービス業,情報通信・サービスその他,Growth
1960.T,サンテック,建設業,建設・資材,Standard
1961.T,三機工業,建設業,建設・資材,Prime
1963.T,日揮ホールディングス,建設業,建設・資材,Prime
1964.T,中外炉工業,建設業,建設・資材,Prime
1965.T,テクノ菱和,建設業,建設・資材,Standard
1966.T,高田工業所,建設業,建設・資材,Standard
1967.T,ヤマト,建設業,建設・資材,Standard
1968.T,太平電業,建設業,建設・資材,Prime
1969.T,高砂熱学工業,建設業,建設・資材,Prime
196A.T,ＭＦＳ,その他金融業,金融（除く銀行）,Growth
1972.T,三晃金属工業,建設業,建設・資材,Standard
1975.T,朝日工業社,建設業,建設・資材,Prime
1976.T,明星工業,建設業,建設・資材,Prime
1979.T,大氣社,建設業,建設・資材,Prime
197A.T,タウンズ,医薬品,医薬品,Standard
1980.T,ダイダン,建設業,建設・資材,Prime
1981.T,協和日成,建設業,建設・資材,Standard
1982.T,日比谷総合設備,建設業,建設・資材,Prime
198A.T,ＰｏｓｔＰｒｉｍｅ,情報・通信業,情報通信・サービスその他,Growth
1992.T,神田通信機,建設業,建設・資材,Standard
1994.T,高橋カーテンウォール工業,建設業,建設・資材,Standard
1997.T,暁飯島工業,建設業,建設・資材,Standard
2001.T,ニップン,食料品,食品,Prime
2002.T,日清製粉グループ本社,食料品,食品,Prime
2003.T,日東富士製粉,食料品,食品,Standard
2004.T,昭和産業,食料品,食品,Prime
2009.T,鳥越製粉,食料品,食品,Standard
